id;type;status;created_date;updated_date
1;CONCENT;STATUS_CONCENT;2022-03-01;2022-02-28
2;CONCENT;STATUS_CONCENT;2022-03-01;2022-02-28
3;CONCENT;STATUS_CONCENT;2022-03-01;2022-03-01
4;CONCENT;STATUS_CONCENT;2022-03-01;2022-03-01
5;CONCENT;STATUS_CONCENT;2022-03-01;2022-03-01
6;CONCENT;STATUS_CONCENT;2022-02-28;2022-03-01
7;CONCENT;STATUS_CONCENT;2022-02-28;2022-02-28
8;CONCENT;STATUS_CONCENT;2022-02-28;2022-02-28
9;CONCENT;STATUS_CONCENT;2022-03-01;2022-02-28
10;CONCENT;STATUS_CONCENT;2022-02-28;2022-03-01
