id;ikpi;brand;scope;alias;telematicld;created_date;updated_date
1;connecting index Metal;BRAND;connecting International;array sticky Jewelery;payment withdrawal optical;2022-03-01;2022-03-01
2;Dalasi Soap bandwidth;BRAND;District;override;clicks-and-mortar Practical SMTP;2022-02-28;2022-02-28
3;users back-end port;BRAND;Cape TCP;Lead Ergonomic;Direct Iraqi;2022-03-01;2022-02-28
4;payment;BRAND;Direct Computers Administrator;fuchsia communities;e-enable USB;2022-02-28;2022-03-01
5;override;BRAND;Metal Berkshire;payment online;Computers contextually-based;2022-03-01;2022-02-28
6;Buckinghamshire;BRAND;Health payment payment;executive Fresh;e-tailers core;2022-02-28;2022-03-01
7;collaborative modular;BRAND;calculate;Riel Balanced;Sleek systematic Car;2022-03-01;2022-02-28
8;Developer;BRAND;Granite Loan;wireless indigo invoice;bluetooth Strategist Centers;2022-03-01;2022-02-28
9;one-to-one multi-byte silver;BRAND;EXE Poland;Gorgeous Valley;back Practical;2022-03-01;2022-02-28
10;sky Metical Legacy;BRAND;Kids complexity;Steel Account;Square Shoes;2022-02-28;2022-02-28
